,title,groups,keywords,topics
104,Lifting Relational MAP-LP Relaxations using Permutation Constraint Graphs,Reasoning under Uncertainty (RU),"Lifted Probabilistic Inference
Statistical Relational Learning
MAP Estimation
Linear Programming
Sherali-Adams Hierarchy","RU: Probabilistic Inference
RU: Relational Probabilistic Models"
105,Boosting SBDS for Partial Symmetry Breaking in Constraint Programming,Search and Constraint Satisfaction (SCS),"constraint satisfaction problems
symmetry breaking
SBDS","SCS: Constraint Satisfaction
SCS: SAT and CSP: Modeling/Formulations
SCS: Constraint Satisfaction (General/other)"
106,Evolutionary dynamics of learning algorithms over the sequence form,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","Game Theory
Multiagent learning
Evolutionary game theory","GTEP: Adversarial Learning
GTEP: Equilibrium
MAS: Multiagent Learning"
107,Structured Possibilistic Planning using Decision Diagrams,"Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","Qualitative Planning under Uncertainty
Symbolic Planning with Decision Diagrams
Possibilistic (PO)MDPs
Mixed Observability","KRR: Qualitative Reasoning
KRR: Reasoning with Beliefs
PS: Markov Models of Environments
PS: Probabilistic Planning
PS: Planning (General/Other)
RU: Graphical Models (Other)
RU: Decision/Utility Theory
RU: Sequential Decision Making
RU: Uncertainty Representations
RU: Uncertainty in AI (General/Other)"
108,Labeling Complicated Objects: Multi-View Multi-Instance Multi-Label Learning,Machine Learning Applications (MLA),"multi-view learning.
multi-instance multi-label learning.
partial examples.","AIW: AI for multimedia and multimodal web applications
MLA: Applications of Supervised Learning
MLA: Machine Learning Applications (General/other)"
109,Reasoning on LTL on Finite Traces: Insensitivity to Infiniteness,Knowledge Representation and Reasoning (KRR),"Linear Temporal Logic
Finite Traces
Reasoning about Actions
Trajectory Constraints in Planning
Logic-Based Process and Service Modelling","AIW: AI for web services: semantic descriptions, planning, matching, and coordination
KRR: Action, Change, and Causality
PS: Temporal Planning"
110,A Game-theoretic Analysis of Catalog Optimization,"Game Theory and Economic Paradigms (GTEP)
Knowledge Representation and Reasoning (KRR)","Competitive assortment optimization
Nash equilibrium
Price of Stability
Computational social choice","GTEP: Auctions and Market-Based Systems
GTEP: Game Theory
GTEP: Social Choice / Voting
GTEP: Equilibrium
GTEP: Imperfect Information
KRR: Preferences
KRR: Reasoning with Beliefs
MAS: E-Commerce"
111,Linear-Time Filtering Algorithms for the Disjunctive Constraint,"Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)","Constraint programming
Scheduling
Global constraints
Filtering algorithms
Disjunctive constraint","PS: Scheduling
SCS: Constraint Satisfaction
SCS: Global Constraints
SCS: Constraint Satisfaction (General/other)"
112,Low-Rank Tensor Completion with Discriminant Analysis for Action Classification,"Machine Learning Applications (MLA)
Vision (VIS)","low-rank
tensor
action recognition
discriminant analysis","MLA: Applications of Supervised Learning
VIS: Face and Gesture Recognition
VIS: Videos"
113,Programming by Example using Least General Generalizations,"Applications (APP)
Heuristic Search and Optimization (HSO)
Knowledge Representation and Reasoning (KRR)","Programming by example
Inductive inference
XML transformations
Program synthesis
Document editing interfaces","APP: Intelligent User Interfaces
APP: Other Applications
HSO: Search (General/Other)
KRR: Knowledge Representation Languages
KRR: Knowledge Representation (General/Other)"
114,Give a Hard Problem to a Diverse Team: Exploring Large Action Spaces,Multiagent Systems (MAS),"Team formation
Coordination & Collaboration
Distributed AI",MAS: Coordination and Collaboration
115,A Simple Polynomial-Time Randomized Distributed Algorithm for Connected Row Convex Constraints,"Multiagent Systems (MAS)
Search and Constraint Satisfaction (SCS)","Connected Row Convex Constraints
Distributed CSP
Randomized Algorithms","MAS: Distributed Problem Solving
SCS: Distributed CSP/Optimization"
116,SUIT: A Supervised User-Item based Topic model for Sentiment Analysis,NLP and Text Mining (NLPTM),"topic model
sentiment analysis
review rating","AIW: Web-based opinion extraction and trend spotting
NLPTM: Information Extraction"
117,Automatic Game Design via Mechanic Generation,Game Playing and Interactive Entertainment (GPIE),"procedural content generation
game generation
game mechanics","GPIE: AI in Game Design
GPIE: Procedural Content Generation"
118,Learning the Structure of Probabilistic Graphical Models with an Extended Cascading Indian Buffet Process,Novel Machine Learning Algorithms (NMLA),"Structure learning
Bayesian Learning
Bayesian nonparametrics
Graphical models
Deep belief networks
Infinite directed acyclic graphs
MCMC inference","NMLA: Bayesian Learning
NMLA: Data Mining and Knowledge Discovery
NMLA: Graphical Model Learning
RU: Bayesian Networks
RU: Graphical Models (Other)"
119,Learning Compositional Sparse Models of Bimodal Percepts,"Cognitive Systems (CS)
Novel Machine Learning Algorithms (NMLA)
Vision (VIS)","compositional model
bimodal sparse representation
vision and audio","CS: Structural learning and knowledge capture
NMLA: Dimension Reduction/Feature Selection
VIS: Language and Vision"
120,Dramatis: A Computational Model of Suspense,"Applications (APP)
Game Playing and Interactive Entertainment (GPIE)","computational creativity
psychological models
computational aesthetics","APP: Art and Music
GPIE: AI Storytelling
GPIE: Computational Creativity and Generative Art"
121,LASS: A Simple Assignment Model with Laplacian Smoothing,Novel Machine Learning Algorithms (NMLA),"semi-supervised learning
convex optimization
ADMM
soft assignment
Laplacian smoothing","HSO: Optimization
NMLA: Semisupervised Learning
RU: Uncertainty in AI (General/Other)"
122,Learning Goal-Oriented Hierarchical Tasks from Situated Interactive Instruction,Cognitive Systems (CS),"task learning
interactive learning
explanation-based learning
situated interactive instruction
learning for robots
learning from dialog
Soar
cognitive architecture","CM: Agent Architectures
CM: Symbolic AI
CS: Social cognition and interaction
CS: Structural learning and knowledge capture"
123,Chance-constrained Probabilistic Simple Temporal Problems,"Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)
Search and Constraint Satisfaction (SCS)","scheduling
probabilistic
STNU","PS: Probabilistic Planning
PS: Scheduling
PS: Temporal Planning
SCS: Constraint Optimization"
124,False-Name Bidding and Economic Efficiency in Combinatorial Auctions,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)
Reasoning under Uncertainty (RU)","- GTEP: Auctions and Market-Based Systems
- GTEP: Equilibrium
- MAS: E-Commerce
- MAS: Mechanism Design","GTEP: Auctions and Market-Based Systems
GTEP: Game Theory
GTEP: Equilibrium
GTEP: Imperfect Information
MAS: E-Commerce
MAS: Evaluation and Analysis (Multiagent Systems)
RU: Decision/Utility Theory"
125,Exploiting Competition Relationship for Robust Visual Recognition,"Applications (APP)
Machine Learning Applications (MLA)
Vision (VIS)","Competition relationships
jointly learning
visual recognition","APP: Other Applications
MLA: Applications of Supervised Learning
VIS: Categorization"
126,Power Iterated Color Refinement,"Novel Machine Learning Algorithms (NMLA)
Reasoning under Uncertainty (RU)","Lifted Belief Propagation
Color Refinement
Fractional Automorphism
Conditional Gradient
Power Iteration
Continuous Optimization","NMLA: Relational/Graph-Based Learning
RU: Relational Probabilistic Models"
127,A Framework for Task Planning in Heterogeneous Multi Robot Systems Based on Robot Capabilities,"Planning and Scheduling (PS)
Robotics (ROB)","Robot Task Planning
Temporal Planning
Heterogeneous Multi Robot Systems
Robot capabilities","PS: Temporal Planning
PS: Planning (General/Other)
ROB: Multi-Robot Systems
ROB: Robotics (General/Other)"
128,Active Learning Using Knowledge Transfer from Unlabeled Data,Novel Machine Learning Algorithms (NMLA),"Active learning
Multiple labelers
Knowledge transfer",NMLA: Active Learning
129,Using Model-Based Diagnosis to Improve Software Testing,"Applications (APP)
Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)","Model based diagnosis
Software engineering
Planning
Testing","APP: Other Applications
KRR: Automated Reasoning and Theorem Proving
KRR: Diagnosis and Abductive Reasoning
PS: Model-Based Reasoning"
130,Wormhole Hamiltonian Monte Carlo,Novel Machine Learning Algorithms (NMLA),"Bayesian Inference
Computational Statistics
Markov Chain Monte Carlo
Multimodal Distributions
Geometric Methods","NMLA: Bayesian Learning
NMLA: Machine Learning (General/other)"
131,Pay-as-you-go OWL Query Answering Using a Triple Store,"AI and the Web (AIW)
Knowledge Representation and Reasoning (KRR)","OWL
ontologies
triple store","AIW: Searching, querying, visualizing, and interpreting the semantic web
KRR: Ontologies
KRR: Automated Reasoning and Theorem Proving
KRR: Description Logics"
132,Imitation Learning with Demonstrations and Shaping Rewards,Reasoning under Uncertainty (RU),"Imitation Learning
Reinforcement Learning
Reward Shaping",RU: Sequential Decision Making
133,Spectral Thompson Sampling,"Novel Machine Learning Algorithms (NMLA)
Reasoning under Uncertainty (RU)","Spectral bandits
Thompson Sampling
Smooth functions on graphs","NMLA: Online Learning
NMLA: Recommender Systems
RU: Sequential Decision Making"
134,Mechanism Design for Scheduling with Uncertain Execution Time.,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","mechanism design
scheduling mechanisms
game theory
uncertainity","GTEP: Auctions and Market-Based Systems
GTEP: Game Theory
MAS: Mechanism Design"
135,Robust Winners and Winner Determination Policies under Candidate Uncertainty,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","voting
candidate availability
query policies
robust winner determination","APP: Computational Social Science
GTEP: Social Choice / Voting"
136,Learning Latent Engagement Patterns of Students in Online Courses,"Applications (APP)
Machine Learning Applications (MLA)","probabilistic modeling
structured prediction
data-driven methods in education
MOOC
online education","APP: Computer-Aided Education
HAI: Understanding People, Theories, Concepts and Methods
MLA: Machine Learning Applications (General/other)"
137,Semantic Segmentation Using Multiple Graphs with Block-Diagonal Constraints,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)
Vision (VIS)","Image Semantic Segmentation
Block-Diagonal Constraints
MultiView Affinity Graph","MLA: Applications of Supervised Learning
NMLA: Classification
NMLA: Relational/Graph-Based Learning
VIS: Categorization
VIS: Object Detection
VIS: Object Recognition
VIS: Statistical Methods and Learning"
138,Parametrized Families of Hard Planning Problems from Phase Transitions,Planning and Scheduling (PS),"parametrized families
scaling analysis
phase transition
benchmark planning problems","PS: Scheduling
PS: Planning (General/Other)"
139,On Dataless Hierarchical Text Classification,NLP and Machine Learning (NLPML),"Hierarchical Text Classification
Dataless Text Classification
Semantic Representation",NLPML: Text Classification
140,Confident Reasoning on Raven’s Progressive Matrices Tests,Knowledge Representation and Reasoning (KRR),"Visual Representations
Reasoning
Analogy","KRR: Geometric, Spatial, and Temporal Reasoning
KRR: Knowledge Representation (General/Other)"
141,The Role of Dimensionality Reduction in Linear Classification,Novel Machine Learning Algorithms (NMLA),"dimensionality reduction
nonlinear classification
optimization","HSO: Optimization
NMLA: Classification
NMLA: Dimension Reduction/Feature Selection"
142,Generalizing Policy Advice with Gaussian Process Bandits for Dynamic Skill Improvement,"Heuristic Search and Optimization (HSO)
Humans and AI (HAI)
Machine Learning Applications (MLA)
Reasoning under Uncertainty (RU)
Robotics (ROB)","robot table tennis
gaussian process bandits
human advice
coaching robots","HSO: Heuristic Search
HAI: Human-Computer Interaction
MLA: Machine Learning Applications (General/other)
RU: Decision/Utility Theory
RU: Sequential Decision Making
ROB: Robotics (General/Other)"
143,Deep Modeling of Group Preferences for Group-based Recommendation,"AI and the Web (AIW)
Novel Machine Learning Algorithms (NMLA)","Group Recommender System
Deep Learning
Feature Learning
Deep Belief Network
Restricted Boltzmann Machine","AIW: Web-based recommendation systems
NMLA: Preferences/Ranking Learning
NMLA: Recommender Systems"
144,Cross-Domain Metric Learning Based on Information Theory,Novel Machine Learning Algorithms (NMLA),"Mahalanobis distance
metric learning
transfer learning
relative entropy","NMLA: Transfer, Adaptation, Multitask Learning"
145,Spatial Scan for Disease Mapping on a Mobile Population,"Applications (APP)
Computational Sustainability and AI (CSAI)
Machine Learning Applications (MLA)","disease mapping
spatial scan
mobile data","APP: AI and Natural Sciences
CSAI: Modeling and prediction of dynamic and spatiotemporal phenomena and systems
CSAI: Control and optimization of dynamic and spatiotemporal systems
MLA: Machine Learning Applications (General/other)
NMLA: Machine Learning (General/other)"
146,Identifying Hierarchies for Fast Optimal Search,Heuristic Search and Optimization (HSO),"Hierarchical search
Path planning
Subgoals",HSO: Heuristic Search
147,On Boosting Sparse Parities,Novel Machine Learning Algorithms (NMLA),"choosing weak learners
boosting
parity functions","NMLA: Ensemble Methods
NMLA: Machine Learning (General/other)"
148,Decentralized Stochastic Planning with Anonymity in Interactions,"Multiagent Systems (MAS)
Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","Planning under uncertainty
Multiagent Systems
DEC-MDP
Optimization","PS: Markov Models of Environments
RU: Decision/Utility Theory
RU: Uncertainty in AI (General/Other)"
149,Regret Transfer and Parameter Optimization,Game Theory and Economic Paradigms (GTEP),"Large Incomplete-Information Games
Poker
Game Solving
No-Regret Learning
Counterfactual Regret Minimization
Regret Matching
Regret Minimization","GTEP: Game Theory
GTEP: Equilibrium
GTEP: Imperfect Information"
150,Learning with Augmented Class by Exploiting Unlabeled Data,Novel Machine Learning Algorithms (NMLA),"open set classification
unlabeled data
support vector machines",NMLA: Classification
151,Locality-constrained Low-rank Coding for Image Classification,Vision (VIS),"Bag-of-words Model
Mid-level Representations
Locality Coding
Low-rank Coding
Inexact Augmented Lagrange Multiplier","VIS: Categorization
VIS: Face and Gesture Recognition
VIS: Object Recognition"
152,Qualitative Planning with Quantitative Constraints for Online Learning of Robotic Behaviours,"Cognitive Systems (CS)
Robotics (ROB)","Robotics
Online Machine Learning
Multi-Strategy Architecture
Qualitative Reasoning
Qualitative Planning","CS: Problem solving and decision making
ROB: Behavior and Control
ROB: Motion and Path Planning
ROB: Robotics (General/Other)"
153,Regret-Based Multi-Agent Coordination with Uncertain Task Rewards,Multiagent Systems (MAS),"Multi-Agent Coordination
Uncertain Task Rewards
DCOP","MAS: Coordination and Collaboration
MAS: Distributed Problem Solving"
154,Convex Co-embedding,Novel Machine Learning Algorithms (NMLA),"convex relaxation
matrix norm regularization
relation learning
representation learning","NMLA: Dimension Reduction/Feature Selection
NMLA: Relational/Graph-Based Learning
NMLA: Supervised Learning (Other)"
155,Optimal Decoupling in Linear Constraint Systems,"Heuristic Search and Optimization (HSO)
Multiagent Systems (MAS)
Planning and Scheduling (PS)
Search and Constraint Satisfaction (SCS)","temporal decoupling
constraint solving
linear programming
flexibility","HSO: Optimization
MAS: Distributed Problem Solving
MAS: Multiagent Planning
PS: Scheduling
PS: Temporal Planning
PS: Planning (General/Other)
SCS: Constraint Satisfaction
SCS: Constraint Optimization
SCS: Global Constraints
SCS: Constraint Satisfaction (General/other)"
156,Who also likes it? Generating the most Persuasive Social Explanations in Recommender Systems,AI and the Web (AIW),"Recommendation Explanation
Social Explanation
Social Network","AIW: Social networking and community identification
AIW: Web-based recommendation systems"
157,Computing Contingent Plans via Fully Observable Non-Deterministic Planning,Planning and Scheduling (PS),"contingent planning
conditional planning
partial observability
planning and sensing
offline planning
FOND","PS: Deterministic Planning
PS: Planning (General/Other)"
158,Instance-based Domain Adaptation in NLP via In-target-domain Logistic Approximation,"NLP and Machine Learning (NLPML)
Novel Machine Learning Algorithms (NMLA)","domain adaptation
instance adaptation
instance-based adaptation
density-ratio estimation
text categorization
sentiment classification","NLPML: Text Classification
NLPML: Natural Language Processing (General/Other)
NMLA: Transfer, Adaptation, Multitask Learning"
159,Ordering Effects and Belief Adjustment in the Use of Comparison Shopping Agents,Humans and AI (HAI),"comparison shopping agents
belief-adjustment
ordering
experimentation
eCommerce",HAI: Human-Computer Interaction
160,Scalable sparse covariance estimation via self-concordance,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","Inexact proximal Newton methods
Sparse covariance estimation
Self-concordance property","MLA: Machine Learning Applications (General/other)
NMLA: Big Data / Scalability
NMLA: Data Mining and Knowledge Discovery
NMLA: Graphical Model Learning"
161,Trading Multiple Indivisible Goods with Indifferences: Beyond Sönmez's Result,Game Theory and Economic Paradigms (GTEP),"Mechanism design
Exchange
Indifference
Pareto efficiency
Strategy-proofness
Individual rationality","GTEP: Game Theory
GTEP: Social Choice / Voting
MAS: E-Commerce
MAS: Mechanism Design"
162,SenticNet 3: A Common and Common-Sense Knowledge Base for Cognition-Driven Sentiment Analysis,"Cognitive Systems (CS)
Knowledge Representation and Reasoning (KRR)
NLP and Knowledge Representation (NLPKR)","concept-level sentiment analysis
natural language processing
common-sense reasoning","CS: Conceptual inference and reasoning
KRR: Common-Sense Reasoning
KRR: Knowledge Representation (General/Other)
NLPKR: Natural Language Processing (General/Other)"
163,Combining Multiple Correlated Reward and Shaping Signals by Measuring Confidence,Novel Machine Learning Algorithms (NMLA),"Reinforcement Learning
Reward Shaping
Multi-Objective Optimization
Traffic Light Control
Pursuit Domain",NMLA: Reinforcement Learning
164,Avoiding Plagiarism in Markov Sequence Generation,"Machine Learning Applications (MLA)
Search and Constraint Satisfaction (SCS)","markov chains
plagiarism
constraint satisfaction
global constraints","APP: Art and Music
MLA: Machine Learning Applications (General/other)
SCS: Constraint Satisfaction
SCS: Global Constraints
SCS: Constraint Satisfaction (General/other)"
165,A Region-Based Model for Estimating Urban Air Pollution,"Computational Sustainability and AI (CSAI)
Machine Learning Applications (MLA)","Spatial Reasoning
Computational Sustainability
Gaussian Process
Urban Air Quality","CSAI: Modeling and prediction of dynamic and spatiotemporal phenomena and systems
MLA: Environmental"
166,Item Bidding  for Combinatorial Public Projects,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","Public Project
Mechanisms
Valuation Function
Social Welfare
Nash Equilibrium
Strong Equilibrium
Price of Anarchy","GTEP: Game Theory
GTEP: Coordination and Collaboration
GTEP: Equilibrium
MAS: Coordination and Collaboration
MAS: Mechanism Design"
167,How Long Will It Take? Accurate Prediction of Ontology Reasoning Performance,AI and the Web (AIW),"Ontology
Reasoning performance
Semantic Web
Prediction
Regression
Performance hotspot detection","AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomies"
168,Backdoors to Planning,"Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)","Planning
Backdoors
Fixed-parameter tractable algorithms
(Parameterized) complexity","KRR: Computational Complexity of Reasoning
PS: Deterministic Planning"
169,Dynamic Multi-Agent Task Allocation with Spatial and Temporal Constraints,Multiagent Systems (MAS),"Task Allocation
Dynamic Problem
Cooperative Agents","MAS: Coordination and Collaboration
MAS: Distributed Problem Solving"
170,Datalog Rewritability of Disjunctive Datalog Programs and its Applications to Ontology Reasoning,Knowledge Representation and Reasoning (KRR),"disjunctive datalog
tractable reasoning
ontology-based query answering
OWL 2","KRR: Ontologies
KRR: Automated Reasoning and Theorem Proving
KRR: Computational Complexity of Reasoning
KRR: Description Logics
KRR: Knowledge Representation Languages
KRR: Logic Programming"
171,Increasing VCG revenue by decreasing the quality of items,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","auctions
mechanism design
VCG
revenue maximization","GTEP: Auctions and Market-Based Systems
MAS: Mechanism Design"
172,Grandpa Hates Robots - Interaction Constraints for Planning in Inhabited Environments,"Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)
Search and Constraint Satisfaction (SCS)","Constraint-based planning
Planning in inhabited environments
Human-aware planning","KRR: Preferences
PS: Scheduling
PS: Temporal Planning
PS: Planning (General/Other)
SCS: Constraint Satisfaction (General/other)"
173,The Most Uncreative Examinee: A First Step toward Wide Coverage Natural Language Math Problem Solving,Knowledge Representation and Reasoning (KRR),"natural language semantics
mathematical problem solving
automated reasoning
computer algebra",KRR: Automated Reasoning and Theorem Proving
174,Acquiring Commonsense Knowledge for Sentiment Analysis through Human Computation,"Human-Computation and Crowd Sourcing (HCC)
Knowledge Representation and Reasoning (KRR)
NLP and Machine Learning (NLPML)","human computation
games with a purpose
crowdsourcing
commonsense knowledge
sentiment analysis
context","HCC: Domain-specific implementation challenges in human computation games
KRR: Knowledge Acquisition
NLPML: Text Classification"
175,Optimistic Adaptive Submodularity at Scale,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)
Planning and Scheduling (PS)
Reasoning under Uncertainty (RU)","Submodularity
Adaptive submodularity
Linear bandits
Online learning","APP: Other Applications
MLA: Machine Learning Applications (General/other)
NMLA: Active Learning
NMLA: Online Learning
NMLA: Recommender Systems
PS: Planning (General/Other)
RU: Sequential Decision Making"
176,Sequential Click Prediction for Sponsored Search with Recurrent Neural Networks,Machine Learning Applications (MLA),"Sponsored Search
Recurrent Neural Network
Sequential Click Prediction","AIW: Enhancing web search and information retrieval
AIW: Machine learning and the web
MLA: Applications of Supervised Learning
MLA: Machine Learning Applications (General/other)"
177,Backdoors into Heterogeneous Classes of SAT and CSP,Search and Constraint Satisfaction (SCS),"theoretical analysis
Constraint Satisfaction Problem (CSP)
Satisfiability (SAT)
polymorphism
backdoor set
parameterized complexity","KRR: Computational Complexity of Reasoning
SCS: Constraint Satisfaction
SCS: Satisfiability (General/Other)
SCS: Constraint Satisfaction (General/other)"
178,Theory of Cooperation in Complex Social Networks,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","coevolutionary networks
evolution of cooperation
influencing social networks","GTEP: Game Theory
GTEP: Coordination and Collaboration
GTEP: Equilibrium
MAS: Agent-based Simulation and Emergent Behavior
MAS: Coordination and Collaboration
MAS: Evaluation and Analysis (Multiagent Systems)"
179,Explanation-Based Approximate Weighted Model Counting for Probabilistic Logics,"Knowledge Representation and Reasoning (KRR)
Reasoning under Uncertainty (RU)","Probabilistic Logic Programming
Bounded Approximate Inference
Weighted Model Counting","KRR: Logic Programming
RU: Probabilistic Inference
RU: Relational Probabilistic Models"
180,A Knowledge Compilation Map for Ordered Real-Valued Decision Diagrams,Knowledge Representation and Reasoning (KRR),"Decision Diagrams (ADD - AADD - OBDD - SLDD)
Knowledge Compilation
Complexity","KRR: Computational Complexity of Reasoning
KRR: Knowledge Representation Languages
KRR: Preferences
SCS: Constraint Optimization"
181,Prices Matter for the Parameterized Complexity of Shift Bribery,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","preferenced-based voting
campaign management
computational (in)tractability
parameterized complexity analysis
approximation","GTEP: Game Theory
GTEP: Social Choice / Voting
MAS: E-Commerce"
182,Decomposing Activities of Daily Living to Discover Routine Clusters,Machine Learning Applications (MLA),"activity recognition
activities of daily living
time series clustering
low rank and sparse matrix decomposition","MLA: Applications of Unsupervised Learning
MLA: Machine Learning Applications (General/other)"
183,On Hair Recognition in the Wild by Machine,Vision (VIS),"Vision
Biometrics
Face Recognition","VIS: Face and Gesture Recognition
VIS: Statistical Methods and Learning"
184,Capturing Relational Schemas and Functional Dependencies in RDFS,"AI and the Web (AIW)
Knowledge Representation and Reasoning (KRR)","identification constraints
functional dependencies
normal forms","AIW: Ontologies and the web: creation, extraction, evolution, mapping, merging, and alignment; tags and folksonomies
KRR: Description Logics
KRR: Knowledge Representation (General/Other)"
185,Maximum Satisfiability using core-guided MaxSAT Resolution,Search and Constraint Satisfaction (SCS),"maximum satisfiability
maxsat resolution
iterative SAT solving
weighted partial MaxSAT","SCS: Constraint Optimization
SCS: SAT and CSP: Evaluation and Analysis
SCS: SAT and CSP: Solvers and Tools
SCS: Satisfiability (General/Other)"
186,Mind the Gap: Machine Translation by Minimizing the Semantic Gap in Embedding Space,"NLP and Knowledge Representation (NLPKR)
NLP and Machine Learning (NLPML)","Statistical Machine Translation
Semantic Phrase Representation
Recursive Neural Networks
Semantic Gap Minimization","NLPKR: Natural Language Processing (General/Other)
NLPML: Natural Language Processing (General/Other)"
187,Rounded Dynamic Programming for Tree-Structured Stochastic Network Design,"Computational Sustainability and AI (CSAI)
Heuristic Search and Optimization (HSO)
Planning and Scheduling (PS)","stochastic network design
dynamic programming
barrier removal
river networks
influence maximization
stochastic optimization","CSAI: Modeling and prediction of dynamic and spatiotemporal phenomena and systems
CSAI: Control and optimization of dynamic and spatiotemporal systems
CSAI: Network modeling, prediction, and optimization.
HSO: Optimization
PS: Probabilistic Planning"
188,Incentives for Truthful Information Elicitation of Continuous Signals,"Game Theory and Economic Paradigms (GTEP)
Human-Computation and Crowd Sourcing (HCC)
Multiagent Systems (MAS)","Mechanism Design
Information elicitation
Peer prediction","GTEP: Game Theory
GTEP: Equilibrium
GTEP: Imperfect Information
HCC: Game-theoretic mechanism design of incentives for motivation and honest reporting
MAS: E-Commerce
MAS: Mechanism Design
MAS: Multiagent Systems (General/other)"
189,Equilibria in Epidemic Containment Games,"Applications (APP)
Computational Sustainability and AI (CSAI)
Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","network security game
nash equilibria
malware propagation
epidemic control
security
protection
network infection
immunization
graph theory
game theory
spectral radius","APP: Security and Privacy
CSAI: Modeling the interactions of agents with different and often conflicting interests
GTEP: Game Theory
GTEP: Equilibrium
MAS: Evaluation and Analysis (Multiagent Systems)
MAS: Multiagent Systems (General/other)"
190,Beat the Cheater: Computing Game-Theoretic Strategies for When to Kick a Gambler out of a Casino,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","Security
Stackelberg
Gambling
Game Theory","GTEP: Game Theory
GTEP: Equilibrium
GTEP: Imperfect Information"
191,A Characterization of the Single-Peaked Single-Crossing Domain,"Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","elections
voting
single-peaked
single-crossing
1-Euclidean
proportional representation
Monroe
algorithms","GTEP: Game Theory
GTEP: Social Choice / Voting
MAS: E-Commerce"
192,A Support-Based Algorithm for the Bi-Objective Pareto Constraint,Search and Constraint Satisfaction (SCS),"Constraint Programming
Bi-Objective Combinatorial Optimization
Global Constraint
Pareto Constraint","SCS: Constraint Satisfaction
SCS: Constraint Optimization
SCS: Global Constraints"
193,HC-Search for Multi-Label Prediction: An Empirical Study,Novel Machine Learning Algorithms (NMLA),"Supervised Learning
Multi-Label Classification
Structured Prediction",NMLA: Supervised Learning (Other)
194,Semi-supervised Matrix Completion for Cross-Lingual Text Classification,"Machine Learning Applications (MLA)
Novel Machine Learning Algorithms (NMLA)","cross lingual classification
semi-supervised learning
matrix completion","MLA: Machine Learning Applications (General/other)
NMLA: Classification
NMLA: Semisupervised Learning"
195,Approximate Lifting Techniques for Belief Propagation,Reasoning under Uncertainty (RU),"Lifted Inference
Belief Propagation
Graphical Models","RU: Graphical Models (Other)
RU: Probabilistic Inference
RU: Relational Probabilistic Models"
196,Cost-Based Query Optimization via AI Planning,"Knowledge Representation and Reasoning (KRR)
Planning and Scheduling (PS)","relational query optimization
delete-free planning
cost-optimal planning
heuristic search
applications of planning","KRR: Knowledge Representation (General/Other)
PS: Deterministic Planning
PS: Planning (General/Other)"
197,Efficient buyer groups for prediction-of-use electricity tariffs,"Computational Sustainability and AI (CSAI)
Game Theory and Economic Paradigms (GTEP)
Multiagent Systems (MAS)","electricity tariff
group buying
smart grid","CSAI: Modeling the interactions of agents with different and often conflicting interests
CSAI: Support for public engagement and decision making by the public
GTEP: Coordination and Collaboration
MAS: Coordination and Collaboration
MAS: Evaluation and Analysis (Multiagent Systems)"
198,Distribution-Aware Sampling and Weighted Model Counting for SAT,Search and Constraint Satisfaction (SCS),"Weighted Model Counting
Weight Generation
SAT","SCS: SAT and CSP: Evaluation and Analysis
SCS: SAT and CSP: Solvers and Tools
SCS: Satisfiability (General/Other)"
199,Online and Stochastic Learning with a Human Cognitive Bias,"Human-Computation and Crowd Sourcing (HCC)
Novel Machine Learning Algorithms (NMLA)","Machine Learning
Human Cognitive Bias
Online Learning
Stochastic Learning
Endowment effect","HCC: Optimality in the context of human computation
NMLA: Classification
NMLA: Online Learning"
200,Adaptive Singleton-based Consistencies,Search and Constraint Satisfaction (SCS),"CSP
Singleton-based Consistencies
Adaptive Consistencies",SCS: Constraint Satisfaction
201,Scheduling for Transfers in Pickup and Delivery Problems with Very Large Neighborhood Search,Planning and Scheduling (PS),"scheduling
transfers
PDP","HSO: Heuristic Search
HSO: Metareasoning and Metaheuristics
PS: Scheduling"
